Team,Wins,Losses
Mississippi,7,6
Michigan State,7,6
Wyoming,4,8
Minnesota,6,7
Georgia State,1,10
Illinois,2,10
William + Mary,2,9
Kent,11,3
Toledo,9,4
Indiana,4,8
San Jose State,11,2
Clemson,11,2
Bucknell,3,8
Central Michigan,7,6
Brown,7,3
San Diego State,9,4
Columbia,3,7
Tulsa,11,3
Kansas,1,11
Florida State,12,2
Connecticut,5,7
Furman,3,8
Utah State,11,2
West Virginia,7,6
UAB,3,9
West Texas A+M,12,3
Tulane,2,10
Sewanee,3,7
Drake,8,3
South Carolina,11,2
Missouri,5,7
Louisiana-Monroe,8,5
Montana State,11,2
Cincinnati,10,3
Wake Forest,5,7
Florida Atlantic,3,9
VMI,2,9
Air Force,6,7
Grinnell,2,8
Troy,5,7
South Florida,3,9
Villanova,8,4
The Citadel,7,4
Army,2,10
Washington,7,6
Central Florida,10,4
Dartmouth,6,4
Maryland,4,8
Colorado Mines,6,5
Boston College,2,10
Arizona,8,5
Iowa,4,8
Texas State,4,8
Pittsburgh,6,7
Michigan,8,5
Stanford,12,2
Colorado State,4,8
Oregon,12,1
Harvard,8,2
UMass,1,11
Arkansas State,10,3
East Carolina,8,5
Syracuse,8,5
Northwestern,10,3
Florida,11,2
Miami-Ohio,4,8
Baylor,8,5
Texas A+M,11,2
Ohio,9,4
Buffalo,4,8
Iowa State,6,7
Duquesne,5,6
Louisiana State,10,3
Virginia,4,8
Dayton,6,5
Northern Illinois,12,2
North Carolina,8,4
Washington + Lee,8,3
Georgia Tech,7,7
Navy,8,5
Virginia Tech,7,6
Cornell,4,6
Oklahoma,10,3
Richmond,8,3
Texas Christian,7,6
Louisville,11,2
Nevada-Reno,7,6
Arkansas,4,8
New Mexico,4,9
Washington State,3,9
Carnegie Tech,6,5
Southern Cal,7,6
Temple,4,7
Davidson,2,9
Oklahoma State,8,5
Centre,6,4
Miami-Florida,7,5
Western Kentucky,7,6
Vanderbilt,9,4
Texas-El Paso,3,9
Southern Miss,0,12
Oregon State,9,4
California,3,9
Akron,1,11
Memphis,4,8
Georgia,12,2
Middle Tennessee State,8,4
Princeton,5,5
Pennsylvania,6,4
Southern Methodist,7,6
Rutgers,9,4
Brigham Young,8,5
Western Michigan,4,8
Ball State,9,4
Notre Dame,12,1
Duke,6,7
Colorado,1,11
Mississippi State,8,5
Old Dominion,11,2
Marshall,5,7
Bowling Green,8,5
UCLA,9,5
Auburn,3,9
Eastern Michigan,2,10
Texas,9,4
North Texas,4,8
Boise State,11,2
Colgate,8,4
North Carolina State,7,6
Washington + Jefferson,8,3
Chicago,4,6
Nevada-Las Vegas,2,11
South Alabama,2,11
Hardin-Simmons,6,4
Idaho,1,11
Georgetown,5,6
Rice,7,6
Northern Colorado,5,6
Utah,5,7
Louisiana Tech,9,3
Arizona State,8,5
Western State,1,10
UTSA,8,4
Ohio State,12,0
Louisiana-Lafayette,9,4
Florida International,3,9
Purdue,6,7
Georgia Southern,10,4
Hawaii,3,9
Kentucky,2,10
Penn State,8,4
Nebraska,10,4
Lafayette,5,6
Yale,2,8
New Mexico State,1,11
Wisconsin,8,6
Alabama,13,1
Holy Cross,2,9
Houston,5,7
Fresno State,9,4
Fordham,6,5
Washington-Missouri,5,5
Kansas State,11,2
Tennessee,5,7
Montana,5,6
Texas Tech,8,5
