Game Code,Drive Number,Team Code,Start Period,Start Clock,Start Spot,Start Reason,End Period,End Clock,End Spot,End Reason,Plays,Yards,Time Of Possession,Red Zone Attempt,Year
5.01003E+14,1,28,1,900,80,KICKOFF,1,770,16,INTERCEPTION,5,64,130,1,2006
5.01003E+14,2,501,1,770,80,INTERCEPTION,1,609,96,DOWNS,4,-16,161,0,2006
5.01003E+14,3,28,1,609,4,DOWNS,1,487,2,DOWNS,4,2,122,1,2006
5.01003E+14,4,501,1,487,98,DOWNS,1,344,0,TOUCHDOWN,5,98,143,0,2006
5.01003E+14,5,28,1,344,80,KICKOFF,1,152,64,PUNT,6,16,192,0,2006
5.01003E+14,6,501,1,152,84,PUNT,1,27,68,PUNT,5,16,125,0,2006
5.01003E+14,7,28,1,27,56,PUNT,2,816,0,TOUCHDOWN,7,56,111,1,2006
5.01003E+14,8,501,2,816,56,KICKOFF,2,480,23,MISSED FIELD GOAL,10,33,336,1,2006
5.01003E+14,9,28,2,480,76,MISSED FIELD GOAL,2,410,78,PUNT,3,-2,70,0,2006
5.01003E+14,10,501,2,410,60,PUNT,2,373,0,TOUCHDOWN,2,60,37,0,2006
5.01003E+14,11,28,2,373,80,KICKOFF,2,247,67,PUNT,4,13,126,0,2006
5.01003E+14,12,501,2,247,79,PUNT,2,112,52,PUNT,6,27,135,0,2006
5.01003E+14,13,28,2,112,60,PUNT,2,68,0,TOUCHDOWN,3,60,44,0,2006
5.01003E+14,14,501,2,68,80,KICKOFF,2,0,72,END OF HALF,1,8,68,0,2006
5.01003E+14,15,501,3,900,51,KICKOFF,3,665,32,MISSED FIELD GOAL,7,19,235,1,2006
5.01003E+14,16,28,3,665,68,MISSED FIELD GOAL,3,541,53,PUNT,4,15,124,0,2006
5.01003E+14,17,501,3,541,85,PUNT,3,211,54,PUNT,9,31,330,0,2006
5.01003E+14,18,28,3,211,73,PUNT,3,48,32,FUMBLE,5,41,163,0,2006
5.01003E+14,19,501,3,48,83,FUMBLE,4,890,86,INTERCEPTION,2,-3,58,0,2006
5.01003E+14,20,501,4,890,80,KICKOFF,4,773,85,PUNT,3,-5,117,0,2006
5.01003E+14,21,28,4,773,59,PUNT,4,718,0,TOUCHDOWN,4,59,55,1,2006
5.01003E+14,22,501,4,718,80,KICKOFF,4,624,75,PUNT,3,5,94,0,2006
5.01003E+14,23,28,4,624,91,PUNT,4,205,0,TOUCHDOWN,14,91,419,1,2006
5.01003E+14,24,501,4,205,80,KICKOFF,4,0,60,END OF HALF,5,20,205,0,2006
2.04005E+14,1,204,1,900,74,KICKOFF,1,640,50,PUNT,8,24,260,0,2006
2.04005E+14,2,47,1,640,94,PUNT,1,420,50,PUNT,7,44,220,0,2006
2.04005E+14,3,204,1,420,69,PUNT,1,319,62,PUNT,3,7,101,0,2006
2.04005E+14,4,47,1,319,77,PUNT,1,243,53,PUNT,4,24,76,0,2006
2.04005E+14,5,204,1,243,88,PUNT,1,125,0,TOUCHDOWN,6,88,118,1,2006
2.04005E+14,6,47,1,102,66,KICKOFF,2,783,0,TOUCHDOWN,10,66,219,1,2006
2.04005E+14,7,204,2,783,80,KICKOFF,2,511,3,FIELD GOAL,10,77,272,1,2006
2.04005E+14,8,47,2,508,65,KICKOFF,2,415,0,TOUCHDOWN,3,65,93,0,2006
2.04005E+14,9,204,2,405,78,KICKOFF,2,295,75,PUNT,3,3,110,0,2006
2.04005E+14,10,47,2,295,54,PUNT,2,106,29,FIELD GOAL,8,25,189,0,2006
2.04005E+14,11,204,2,96,82,KICKOFF,2,0,14,FIELD GOAL,10,68,96,1,2006
2.04005E+14,12,47,3,884,72,KICKOFF,3,806,60,PUNT,6,12,78,0,2006
2.04005E+14,13,204,3,806,90,PUNT,3,697,97,PUNT,3,-7,109,0,2006
2.04005E+14,14,47,3,697,30,PUNT,3,569,0,TOUCHDOWN,4,30,128,1,2006
2.04005E+14,15,204,3,560,79,KICKOFF,3,250,43,DOWNS,10,36,310,0,2006
2.04005E+14,16,47,3,250,57,DOWNS,3,144,0,TOUCHDOWN,6,57,106,1,2006
2.04005E+14,17,204,3,134,77,KICKOFF,4,890,49,PUNT,4,28,144,0,2006
2.04005E+14,18,47,4,890,93,PUNT,4,722,99,PUNT,3,-6,168,0,2006
2.04005E+14,19,204,4,722,20,PUNT,4,711,0,TOUCHDOWN,1,20,11,1,2006
2.04005E+14,20,47,4,698,69,KICKOFF,4,494,0,TOUCHDOWN,8,69,204,0,2006
2.04005E+14,21,204,4,485,76,KICKOFF,4,262,1,DOWNS,10,75,223,1,2006
2.04005E+14,22,47,4,262,99,DOWNS,4,68,86,PUNT,6,13,194,0,2006
2.04005E+14,23,204,4,68,53,PUNT,4,49,53,INTERCEPTION,1,0,19,0,2006
2.04005E+14,24,47,4,49,54,INTERCEPTION,4,0,55,END OF HALF,1,-1,49,0,2006
1.02007E+14,1,102,1,900,80,KICKOFF,1,731,82,PUNT,3,-2,169,0,2006
1.02007E+14,2,66,1,731,60,PUNT,1,634,0,TOUCHDOWN,5,60,97,1,2006
1.02007E+14,3,102,1,634,82,KICKOFF,1,587,82,PUNT,3,0,47,0,2006
1.02007E+14,4,66,1,587,52,PUNT,1,511,39,FUMBLE,2,13,76,0,2006
1.02007E+14,5,102,1,511,61,FUMBLE,1,486,61,INTERCEPTION,1,0,25,0,2006
1.02007E+14,6,66,1,486,75,INTERCEPTION,1,310,0,TOUCHDOWN,6,75,176,1,2006
1.02007E+14,7,102,1,310,89,KICKOFF,1,194,83,INTERCEPTION,3,6,116,0,2006
1.02007E+14,8,66,1,194,16,INTERCEPTION,1,166,0,TOUCHDOWN,2,16,28,1,2006
1.02007E+14,9,102,1,166,91,KICKOFF,1,13,90,PUNT,3,1,153,0,2006
1.02007E+14,10,66,1,13,34,PUNT,2,755,0,TOUCHDOWN,5,34,158,1,2006
1.02007E+14,11,102,2,755,64,KICKOFF,2,517,51,PUNT,5,13,238,0,2006
1.02007E+14,12,66,2,517,80,PUNT,2,401,78,PUNT,3,2,116,0,2006
1.02007E+14,13,102,2,401,74,PUNT,2,288,72,PUNT,3,2,113,0,2006
1.02007E+14,14,66,2,288,82,PUNT,2,77,50,PUNT,7,32,211,0,2006
1.02007E+14,15,102,2,77,99,PUNT,2,4,98,PUNT,3,1,73,0,2006
1.02007E+14,16,66,2,4,31,PUNT,2,0,16,MISSED FIELD GOAL,2,15,4,1,2006
1.02007E+14,17,66,3,900,63,KICKOFF,3,800,0,TOUCHDOWN,3,63,100,0,2006
1.02007E+14,18,102,3,800,55,KICKOFF,3,672,60,PUNT,3,-5,128,0,2006
1.02007E+14,19,66,3,672,65,PUNT,3,568,57,PUNT,3,8,104,0,2006
1.02007E+14,20,102,3,568,94,PUNT,3,413,86,PUNT,3,8,155,0,2006
1.02007E+14,21,66,3,413,38,PUNT,3,271,16,FIELD GOAL,6,22,142,1,2006
1.02007E+14,22,102,3,259,84,KICKOFF,4,900,65,PUNT,8,19,259,0,2006
1.02007E+14,23,66,4,900,85,PUNT,4,660,55,PUNT,11,30,240,0,2006
1.02007E+14,24,102,4,660,83,PUNT,4,504,75,PUNT,3,8,156,0,2006
1.02007E+14,25,66,4,504,71,PUNT,4,78,0,TOUCHDOWN,14,71,426,1,2006
1.02007E+14,26,102,4,66,81,KICKOFF,4,0,82,END OF HALF,2,-1,66,0,2006
6.90009E+14,1,86,1,900,70,KICKOFF,1,661,50,PUNT,6,20,239,0,2006
6.90009E+14,2,690,1,661,80,PUNT,1,527,70,PUNT,4,10,134,0,2006
6.90009E+14,3,86,1,527,75,PUNT,1,279,45,PUNT,6,30,248,0,2006
6.90009E+14,4,690,1,279,75,PUNT,1,28,62,PUNT,6,13,251,0,2006
6.90009E+14,5,86,1,28,93,PUNT,2,811,88,PUNT,3,5,117,0,2006
6.90009E+14,6,690,2,811,55,PUNT,2,671,47,PUNT,3,8,140,0,2006
6.90009E+14,7,86,2,671,85,PUNT,2,366,18,FUMBLE,13,67,305,0,2006
6.90009E+14,8,690,2,366,82,FUMBLE,2,95,60,PUNT,6,22,271,0,2006
6.90009E+14,9,86,2,95,75,PUNT,2,34,37,PUNT,5,38,61,0,2006
6.90009E+14,10,690,2,34,87,PUNT,2,0,92,END OF HALF,0,-5,34,0,2006
6.90009E+14,11,690,3,900,84,KICKOFF,3,805,84,PUNT,3,0,95,0,2006
6.90009E+14,12,86,3,805,58,PUNT,3,681,12,MISSED FIELD GOAL,6,46,124,1,2006
6.90009E+14,13,690,3,681,80,MISSED FIELD GOAL,3,417,42,PUNT,9,38,264,0,2006
6.90009E+14,14,86,3,417,80,PUNT,3,227,63,PUNT,6,17,190,0,2006
6.90009E+14,15,690,3,227,89,PUNT,3,41,82,PUNT,4,7,186,0,2006
6.90009E+14,16,86,3,41,30,PUNT,4,814,15,MISSED FIELD GOAL,5,15,127,1,2006
6.90009E+14,17,690,4,814,80,MISSED FIELD GOAL,4,729,72,PUNT,3,8,85,0,2006
6.90009E+14,18,86,4,729,57,PUNT,4,458,10,FIELD GOAL,10,47,271,1,2006
6.90009E+14,19,690,4,443,78,KICKOFF,4,104,3,FIELD GOAL,12,75,339,1,2006
6.90009E+14,20,86,4,92,84,KICKOFF,4,0,58,END OF HALF,5,26,92,0,2006
6.90009E+14,21,690,5,,25,POSSESSION,5,,31,INTERCEPTION,3,-6,,0,2006
6.90009E+14,22,86,5,,25,POSSESSION,5,,0,TOUCHDOWN,3,25,,1,2006
6.70129E+13,1,129,1,900,80,KICKOFF,1,836,75,PUNT,3,5,64,0,2006
6.70129E+13,2,67,1,836,61,PUNT,1,654,27,FIELD GOAL,8,34,182,0,2006
6.70129E+13,3,129,1,654,80,KICKOFF,1,544,58,PUNT,5,22,110,0,2006
6.70129E+13,4,67,1,544,81,PUNT,1,246,25,MISSED FIELD GOAL,16,56,298,1,2006
6.70129E+13,5,129,1,246,75,MISSED FIELD GOAL,1,140,2,FIELD GOAL,8,73,106,1,2006
6.70129E+13,6,67,1,140,63,KICKOFF,1,17,63,PUNT,3,0,123,0,2006
6.70129E+13,7,129,1,17,81,PUNT,2,693,45,PUNT,9,36,224,0,2006
6.70129E+13,8,67,2,693,80,PUNT,2,423,0,TOUCHDOWN,11,80,270,1,2006
6.70129E+13,9,129,2,423,75,KICKOFF,2,344,73,DOWNS,4,2,79,0,2006
6.70129E+13,10,67,2,344,27,DOWNS,2,253,0,TOUCHDOWN,4,27,91,1,2006
6.70129E+13,11,129,2,253,76,KICKOFF,2,168,61,PUNT,4,15,85,0,2006
6.70129E+13,12,67,2,168,83,PUNT,2,0,66,END OF HALF,6,17,168,0,2006
6.70129E+13,13,67,3,900,68,KICKOFF,3,823,60,PUNT,3,8,77,0,2006
6.70129E+13,14,129,3,823,76,PUNT,3,713,68,PUNT,3,8,110,0,2006
6.70129E+13,15,67,3,713,71,PUNT,3,553,59,PUNT,5,12,160,0,2006
6.70129E+13,16,129,3,553,70,PUNT,3,448,66,PUNT,4,4,105,0,2006
