Team Code,Name,Conference Code,Year,Wins,Losses
5,Akron,875,2012,1,11
8,Alabama,911,2012,13,1
9,UAB,24312,2012,3,9
28,Arizona State,905,2012,8,5
29,Arizona,905,2012,8,5
30,Arkansas State,818,2012,10,3
31,Arkansas,911,2012,4,8
37,Auburn,911,2012,3,9
47,Ball State,875,2012,9,4
51,Baylor,25354,2012,8,5
66,Boise State,5486,2012,11,2
67,Boston College,821,2012,2,10
71,Bowling Green,875,2012,8,5
77,BYU,99001,2012,8,5
86,Buffalo,875,2012,4,8
96,Fresno State,5486,2012,9,4
107,California,905,2012,3,9
110,UCLA,905,2012,9,5
128,UCF,24312,2012,10,4
129,Central Michigan,875,2012,7,6
140,Cincinnati,823,2012,10,3
147,Clemson,821,2012,11,2
156,Colorado State,5486,2012,4,8
157,Colorado,905,2012,1,11
164,Connecticut,823,2012,5,7
193,Duke,821,2012,6,7
196,East Carolina,24312,2012,8,5
204,Eastern Michigan,875,2012,2,10
229,Florida Atlantic,818,2012,3,9
231,Florida International,818,2012,3,9
234,Florida State,821,2012,12,2
235,Florida,911,2012,11,2
255,Georgia Tech,821,2012,7,7
257,Georgia,911,2012,12,2
277,Hawai'i,5486,2012,3,9
288,Houston,24312,2012,5,7
295,Idaho,923,2012,1,11
301,Illinois,827,2012,2,10
306,Indiana,827,2012,4,8
311,Iowa State,25354,2012,6,7
312,Iowa,827,2012,4,8
327,Kansas State,25354,2012,11,2
328,Kansas,25354,2012,1,11
331,Kent State,875,2012,11,3
334,Kentucky,911,2012,2,10
365,LSU,911,2012,10,3
366,Louisiana Tech,923,2012,9,3
367,Louisville,823,2012,11,2
388,Marshall,24312,2012,5,7
392,Maryland,821,2012,4,8
400,Massachusetts,875,2012,1,11
404,Memphis,24312,2012,4,8
414,Miami (Ohio),875,2012,4,8
415,Miami (Florida),821,2012,7,5
416,Michigan State,827,2012,7,6
418,Michigan,827,2012,8,5
419,Middle Tennessee,818,2012,8,4
428,Minnesota,827,2012,6,7
430,Mississippi State,911,2012,8,5
433,Mississippi,911,2012,7,6
434,Missouri,911,2012,5,7
457,North Carolina,821,2012,8,4
463,Nebraska,827,2012,10,4
465,UNLV,5486,2012,2,11
466,Nevada,5486,2012,7,6
472,New Mexico State,923,2012,1,11
473,New Mexico,5486,2012,4,9
490,North Carolina State,821,2012,7,6
497,North Texas,818,2012,4,8
498,Louisiana-Monroe,818,2012,8,5
503,Northern Illinois,875,2012,12,2
509,Northwestern,827,2012,10,3
513,Notre Dame,99001,2012,12,1
518,Ohio State,827,2012,12,0
519,Ohio,875,2012,9,4
521,Oklahoma State,25354,2012,8,5
522,Oklahoma,25354,2012,10,3
528,Oregon State,905,2012,9,4
529,Oregon,905,2012,12,1
539,Penn State,827,2012,8,4
545,Pittsburgh,823,2012,6,7
559,Purdue,827,2012,6,7
574,Rice,24312,2012,7,6
587,Rutgers,823,2012,9,4
626,San Diego State,5486,2012,9,4
630,San Jose State,923,2012,11,2
646,South Alabama,818,2012,2,11
648,South Carolina,911,2012,11,2
651,South Florida,823,2012,3,9
657,USC,905,2012,7,6
663,SMU,24312,2012,7,6
664,Southern Mississippi,24312,2012,0,12
670,Texas State,923,2012,4,8
671,Louisiana-Lafayette,818,2012,9,4
674,Stanford,905,2012,12,2
688,Syracuse,823,2012,8,5
690,Temple,823,2012,4,7
694,Tennessee,911,2012,5,7
697,Texas A&M,911,2012,11,2
698,TCU,25354,2012,7,6
700,Texas Tech,25354,2012,8,5
703,Texas,25354,2012,9,4
704,UTEP,24312,2012,3,9
706,UTSA,923,2012,8,4
709,Toledo,875,2012,9,4
716,Troy,818,2012,5,7
718,Tulane,24312,2012,2,10
719,Tulsa,24312,2012,11,3
721,Air Force,5486,2012,6,7
725,Army,99001,2012,2,10
726,Navy,99001,2012,8,5
731,Utah State,923,2012,11,2
732,Utah,905,2012,5,7
736,Vanderbilt,911,2012,9,4
742,Virginia Tech,821,2012,7,6
746,Virginia,821,2012,4,8
749,Wake Forest,821,2012,5,7
754,Washington State,905,2012,3,9
756,Washington,905,2012,7,6
768,West Virginia,25354,2012,7,6
772,Western Kentucky,818,2012,7,6
774,Western Michigan,875,2012,4,8
796,Wisconsin,827,2012,8,6
811,Wyoming,5486,2012,4,8
6,Alabama A&M,916,2012,#N/A,#N/A
7,Alabama St.,916,2012,#N/A,#N/A
14,Albany (N.Y.),846,2012,#N/A,#N/A
17,Alcorn St.,916,2012,#N/A,#N/A
27,Appalachian State,912,2012,#N/A,#N/A
43,Austin Peay,902,2012,#N/A,#N/A
48,Charleston So.,826,2012,#N/A,#N/A
61,Bethune-Cookman,876,2012,#N/A,#N/A
80,Brown,865,2012,7,3
81,Bryant,846,2012,#N/A,#N/A
83,Bucknell,838,2012,3,8
87,Butler,21451,2012,#N/A,#N/A
90,Cal Poly,99005,2012,#N/A,#N/A
102,Sacramento State,825,2012,#N/A,#N/A
108,UC Davis,99005,2012,#N/A,#N/A
115,Campbell,21451,2012,#N/A,#N/A
127,Central Conn. St.,846,2012,#N/A,#N/A
141,Citadel,912,2012,#N/A,#N/A
149,Coastal Carolina,826,2012,#N/A,#N/A
153,Colgate,838,2012,8,4
158,Columbia,865,2012,3,7
167,Cornell,865,2012,4,6
172,Dartmouth,865,2012,6,4
173,Davidson,21451,2012,2,9
175,Dayton,21451,2012,6,5
178,Delaware State,876,2012,#N/A,#N/A
180,Delaware,837,2012,#N/A,#N/A
189,Drake,21451,2012,8,3
194,Duquesne,846,2012,5,6
201,Eastern Illinois,902,2012,#N/A,#N/A
202,Eastern Kentucky,902,2012,#N/A,#N/A
207,Eastern Washington,825,2012,#N/A,#N/A
228,Florida A&M,876,2012,#N/A,#N/A
236,Fordham,838,2012,6,5
244,Furman,912,2012,3,8
251,Georgetown,838,2012,5,6
253,Georgia Southern,912,2012,10,4
254,Georgia State,99005,2012,1,10
261,Grambling,916,2012,#N/A,#N/A
270,Hampton,876,2012,#N/A,#N/A
275,Harvard,865,2012,8,2
285,Holy Cross,838,2012,2,9
290,Howard,876,2012,#N/A,#N/A
294,Idaho State,825,2012,#N/A,#N/A
299,Illinois State,853,2012,#N/A,#N/A
305,Indiana State,853,2012,#N/A,#N/A
314,Jackson State,916,2012,#N/A,#N/A
315,Jacksonville State,902,2012,#N/A,#N/A
316,Jacksonville,21451,2012,#N/A,#N/A
317,James Madison,837,2012,#N/A,#N/A
342,Lafayette,838,2012,5,6
346,Lamar,914,2012,#N/A,#N/A
352,Lehigh,838,2012,#N/A,#N/A
355,Liberty,826,2012,#N/A,#N/A
380,Maine,837,2012,#N/A,#N/A
386,Marist,21451,2012,#N/A,#N/A
402,McNeese State,914,2012,#N/A,#N/A
432,Mississippi Valley State,916,2012,#N/A,#N/A
439,Monmouth,846,2012,#N/A,#N/A
440,Montana State,825,2012,11,2
441,Montana,825,2012,5,6
444,Morehead State,21451,2012,#N/A,#N/A
446,Morgan State,876,2012,#N/A,#N/A
454,Murray State,902,2012,#N/A,#N/A
469,New Hampshire,837,2012,#N/A,#N/A
483,Nicholls State,914,2012,#N/A,#N/A
485,Norfolk State,876,2012,#N/A,#N/A
488,North Carolina A&T,876,2012,#N/A,#N/A
489,N.C. Central,876,2012,#N/A,#N/A
493,North Dakota State,853,2012,#N/A,#N/A
494,North Dakota,99005,2012,#N/A,#N/A
501,Northern Arizona,825,2012,#N/A,#N/A
502,Northern Colorado,825,2012,5,6
504,Northern Iowa,853,2012,#N/A,#N/A
508,Northwestern State,914,2012,#N/A,#N/A
523,Old Dominion,837,2012,11,2
540,Pennsylvania,865,2012,6,4
550,Portland State,825,2012,#N/A,#N/A
553,Prairie View,916,2012,#N/A,#N/A
554,Princeton,865,2012,5,5
572,Rhode Island,837,2012,#N/A,#N/A
575,Richmond,837,2012,8,3
579,Robert Morris,846,2012,#N/A,#N/A
590,Sacred Heart,846,2012,#N/A,#N/A
600,St. Francis (Pa.),846,2012,#N/A,#N/A
624,Sam Houston State,914,2012,#N/A,#N/A
625,Samford,912,2012,#N/A,#N/A
627,San Diego,21451,2012,#N/A,#N/A
632,Savannah State,876,2012,#N/A,#N/A
647,South Carolina State,876,2012,#N/A,#N/A
649,South Dakota State,853,2012,#N/A,#N/A
650,South Dakota,99005,2012,#N/A,#N/A
654,Southeast Missouri State,902,2012,#N/A,#N/A
655,Southeastern Louisiana,914,2012,#N/A,#N/A
659,Southern Illinois,853,2012,#N/A,#N/A
665,Southern University,916,2012,#N/A,#N/A
667,Southern Utah,99005,2012,#N/A,#N/A
669,Missouri State,853,2012,#N/A,#N/A
676,Stephen F. Austin,914,2012,#N/A,#N/A
683,Stony Brook,826,2012,#N/A,#N/A
691,Tennessee State,902,2012,#N/A,#N/A
692,Tennessee Tech,902,2012,#N/A,#N/A
693,Chattanooga,912,2012,#N/A,#N/A
695,Tennessee-Martin,902,2012,#N/A,#N/A
699,Texas Southern,916,2012,#N/A,#N/A
711,Towson,837,2012,#N/A,#N/A
735,Valparaiso,21451,2012,#N/A,#N/A
739,Villanova,837,2012,8,4
741,Virginia Military,826,2012,#N/A,#N/A
748,Wagner,846,2012,#N/A,#N/A
758,Weber State,825,2012,#N/A,#N/A
769,Western Carolina,912,2012,#N/A,#N/A
771,Western Illinois,853,2012,#N/A,#N/A
786,William & Mary,837,2012,#N/A,#N/A
813,Yale,865,2012,2,8
817,Youngstown State,853,2012,#N/A,#N/A
1004,Central Arkansas,914,2012,#N/A,#N/A
1068,Elon,912,2012,#N/A,#N/A
1092,Gardner-Webb,826,2012,#N/A,#N/A
1320,Presbyterian,826,2012,#N/A,#N/A
2678,Ark.-Pine Bluff,916,2012,#N/A,#N/A
2915,Wofford,912,2012,#N/A,#N/A
