Team Code,Name,Conference Code,Year
771,Western Illinois,853,2013
786,William & Mary,837,2013
813,Yale,865,2013
817,Youngstown State,853,2013
1004,Central Arkansas,914,2013
1068,Elon,912,2013
1092,Gardner-Webb,826,2013
1320,Presbyterian,826,2013
2678,Arkansas-Pine Bluff,916,2013
2915,Wofford,912,2013
