Team Code,Name,Conference Code,Year,Wins,Losses
5,Akron,875,2010,1,11
8,Alabama,911,2010,10,3
9,UAB,24312,2010,4,8
28,Arizona State,905,2010,6,6
29,Arizona,905,2010,7,6
30,Arkansas State,818,2010,4,8
31,Arkansas,911,2010,10,3
37,Auburn,911,2010,14,0
47,Ball State,875,2010,4,8
51,Baylor,25354,2010,7,6
66,Boise State,923,2010,12,1
67,Boston College,821,2010,7,6
71,Bowling Green,875,2010,2,10
77,BYU,5486,2010,7,6
86,Buffalo,875,2010,2,10
96,Fresno State,923,2010,8,5
107,California,905,2010,5,7
110,UCLA,905,2010,4,8
128,UCF,24312,2010,11,3
129,Central Michigan,875,2010,3,9
140,Cincinnati,823,2010,4,8
147,Clemson,821,2010,6,7
156,Colorado State,5486,2010,3,9
157,Colorado,25354,2010,5,7
164,Connecticut,823,2010,8,5
193,Duke,821,2010,3,9
196,East Carolina,24312,2010,6,7
204,Eastern Michigan,875,2010,2,10
229,Florida Atlantic,818,2010,4,8
231,Florida International,818,2010,7,6
234,Florida State,821,2010,10,4
235,Florida,911,2010,8,5
255,Georgia Tech,821,2010,6,7
257,Georgia,911,2010,6,7
277,Hawai'i,923,2010,10,4
288,Houston,24312,2010,5,7
295,Idaho,923,2010,6,7
301,Illinois,827,2010,7,6
306,Indiana,827,2010,5,7
311,Iowa State,25354,2010,5,7
312,Iowa,827,2010,8,5
327,Kansas State,25354,2010,7,6
328,Kansas,25354,2010,3,9
331,Kent State,875,2010,5,7
334,Kentucky,911,2010,6,7
365,LSU,911,2010,11,2
366,Louisiana Tech,923,2010,5,7
367,Louisville,823,2010,7,6
388,Marshall,24312,2010,5,7
392,Maryland,821,2010,9,4
404,Memphis,24312,2010,1,11
414,Miami (Ohio),875,2010,10,4
415,Miami (Florida),821,2010,7,6
416,Michigan State,827,2010,11,2
418,Michigan,827,2010,7,6
419,Middle Tennessee,818,2010,6,7
428,Minnesota,827,2010,3,9
430,Mississippi State,911,2010,9,4
433,Mississippi,911,2010,4,8
434,Missouri,25354,2010,10,3
457,North Carolina,821,2010,8,5
463,Nebraska,25354,2010,10,4
465,UNLV,5486,2010,2,11
466,Nevada,923,2010,13,1
472,New Mexico State,923,2010,2,10
473,New Mexico,5486,2010,1,11
490,North Carolina State,821,2010,9,4
497,North Texas,818,2010,3,9
498,Louisiana-Monroe,818,2010,5,7
503,Northern Illinois,875,2010,11,3
509,Northwestern,827,2010,7,6
513,Notre Dame,99001,2010,8,5
518,Ohio State,827,2010,0,1
519,Ohio,875,2010,8,5
521,Oklahoma State,25354,2010,11,2
522,Oklahoma,25354,2010,12,2
528,Oregon State,905,2010,5,7
529,Oregon,905,2010,12,1
539,Penn State,827,2010,7,6
545,Pittsburgh,823,2010,8,5
559,Purdue,827,2010,4,8
574,Rice,24312,2010,4,8
587,Rutgers,823,2010,4,8
626,San Diego State,5486,2010,9,4
630,San Jose State,923,2010,1,12
648,South Carolina,911,2010,9,5
