Team,Wins,Losses
Mississippi,9,4
Michigan State,9,4
Kent State,4,8
Minnesota,7,6
Illinois,5,7
William + Mary,7,4
Colorado College,0,9
Toledo,3,9
UTEP,5,7
Miami (Ohio),2,10
San Jose State,6,6
Clemson,7,6
Bucknell,5,6
Central Michigan,8,5
Brown,7,3
San Diego State,2,10
Columbia,2,8
Tulsa,11,3
Kansas,8,5
Florida State,9,4
Connecticut,8,5
Harvard,9,1
Utah State,3,9
West Virginia,9,4
UAB,4,8
SMU,1,11
West Texas A+M,11,2
Wyoming,4,8
Tulane,2,10
BYU,10,3
Drake,6,5
South Carolina,7,6
Missouri,10,4
Louisiana-Monroe,4,8
Montana State,7,5
Cincinnati,11,3
Wake Forest,8,5
Florida Atlantic,7,6
VMI,4,7
Air Force,8,5
Grinnell,3,7
Troy,8,5
South Florida,8,5
Villanova,10,3
The Citadel,4,8
Army,3,9
Washington,0,12
Dartmouth,0,10
Indiana,3,9
Maryland,8,5
Colorado Mines,8,4
Boston College,9,5
Arizona,8,5
Iowa,9,4
Texas State,8,5
Pittsburgh,9,4
Michigan,3,9
Purdue,4,8
Colorado State,7,6
Middle Tennessee,5,7
Oregon,10,3
LSU,8,5
UMass,7,5
Arkansas State,6,6
East Carolina,9,5
Syracuse,3,9
Northwestern,9,4
Southern Mississippi,7,6
Florida,13,1
Baylor,4,8
Ohio,4,8
Buffalo,8,6
Iowa State,2,10
Duquesne,3,7
Virginia,5,7
Dayton,9,3
Northern Illinois,6,7
North Carolina,0,5
Washington + Lee,4,6
Georgia Tech,9,4
Navy,8,5
Virginia Tech,10,4
TCU,11,2
Cornell,4,6
Oklahoma,12,2
Vanderbilt,7,6
Richmond,13,3
Louisville,5,7
Arkansas,5,7
New Mexico,4,8
Stanford,5,7
Washington State,2,11
Carnegie Tech,5,5
Temple,5,7
Davidson,4,7
Oklahoma State,9,4
Miami (Florida),7,6
Centre,7,3
Western Kentucky,2,10
Sewanee,2,8
Oregon State,9,4
California,9,4
Akron,5,7
Memphis,6,7
Georgia,10,3
Princeton,4,6
Pennsylvania,6,4
Rutgers,8,5
Western Michigan,9,4
Ball State,12,2
UNLV,5,7
Notre Dame,7,6
Duke,4,8
Colorado,5,7
Mississippi State,4,8
Marshall,4,8
Bowling Green,6,6
UCLA,4,8
Auburn,5,7
Eastern Michigan,3,9
Texas A&M,4,8
Texas,12,1
North Texas,1,11
Nevada,7,6
Boise State,12,1
Colgate,9,3
North Carolina State,6,7
USC,12,1
Washington + Jefferson,11,2
Chicago,3,6
Hardin-Simmons,9,2
Idaho,2,10
Hawai'i,7,7
Rice,10,3
Utah,13,0
Louisiana Tech,8,5
Arizona State,5,7
Western State,2,8
UCF,4,8
Furman,7,5
Ohio State,10,3
Louisiana-Lafayette,6,6
Florida International,5,7
Georgetown,2,8
Georgia Southern,6,5
Northern Colorado,1,10
Kentucky,7,6
Penn State,11,2
Nebraska,9,4
Lafayette,7,4
Yale,6,4
New Mexico State,3,9
Wisconsin,7,6
Alabama,12,2
Holy Cross,7,4
Houston,8,5
Fresno State,7,6
Fordham,5,6
Washington-Missouri,5,5
Kansas State,5,7
Tennessee,5,7
Montana,14,2
Texas Tech,11,2
