Team Code,Name,Conference Code,Year,Wins,Losses
5,Akron,875,2006,5,7
8,Alabama,911,2006,0,7
9,UAB,24312,2006,3,9
28,Arizona State,905,2006,7,6
29,Arizona,905,2006,6,6
30,Arkansas State,818,2006,6,6
31,Arkansas,911,2006,10,4
37,Auburn,911,2006,11,2
47,Ball State,875,2006,5,7
51,Baylor,25354,2006,4,8
66,Boise State,923,2006,13,0
67,Boston College,821,2006,10,3
71,Bowling Green,875,2006,4,8
77,BYU,5486,2006,11,2
86,Buffalo,875,2006,2,10
96,Fresno State,923,2006,4,8
107,California,905,2006,10,3
110,UCLA,905,2006,7,6
128,UCF,24312,2006,4,8
129,Central Michigan,875,2006,10,4
140,Cincinnati,823,2006,8,5
147,Clemson,821,2006,8,5
156,Colorado State,5486,2006,4,8
157,Colorado,25354,2006,2,10
164,Connecticut,823,2006,4,8
193,Duke,821,2006,0,12
196,East Carolina,24312,2006,7,6
204,Eastern Michigan,875,2006,1,11
229,Florida Atlantic,818,2006,5,7
231,Florida International,818,2006,0,12
234,Florida State,821,2006,2,6
235,Florida,911,2006,13,1
255,Georgia Tech,821,2006,9,5
257,Georgia,911,2006,9,4
277,Hawai'i,923,2006,11,3
288,Houston,24312,2006,10,4
295,Idaho,923,2006,4,8
301,Illinois,827,2006,2,10
306,Indiana,827,2006,5,7
311,Iowa State,25354,2006,4,8
312,Iowa,827,2006,6,7
327,Kansas State,25354,2006,7,6
328,Kansas,25354,2006,6,6
331,Kent State,875,2006,6,6
334,Kentucky,911,2006,8,5
365,LSU,911,2006,11,2
366,Louisiana Tech,923,2006,3,10
367,Louisville,823,2006,12,1
388,Marshall,24312,2006,5,7
392,Maryland,821,2006,9,4
404,Memphis,24312,2006,2,10
414,Miami (Ohio),875,2006,2,10
415,Miami (Florida),821,2006,7,6
416,Michigan State,827,2006,4,8
418,Michigan,827,2006,11,2
419,Middle Tennessee,818,2006,7,6
428,Minnesota,827,2006,6,7
430,Mississippi State,911,2006,3,9
433,Mississippi,911,2006,4,8
434,Missouri,25354,2006,8,5
457,North Carolina,821,2006,3,9
463,Nebraska,25354,2006,9,5
465,UNLV,5486,2006,2,10
466,Nevada,923,2006,8,5
472,New Mexico State,923,2006,4,8
473,New Mexico,5486,2006,6,7
490,North Carolina State,821,2006,3,9
497,North Texas,818,2006,3,9
498,Louisiana-Monroe,818,2006,4,8
503,Northern Illinois,875,2006,7,6
509,Northwestern,827,2006,4,8
513,Notre Dame,99001,2006,10,3
518,Ohio State,827,2006,12,1
519,Ohio,875,2006,9,5
521,Oklahoma State,25354,2006,7,6
522,Oklahoma,25354,2006,11,3
528,Oregon State,905,2006,10,4
529,Oregon,905,2006,7,6
539,Penn State,827,2006,9,4
545,Pittsburgh,823,2006,6,6
559,Purdue,827,2006,8,6
574,Rice,24312,2006,7,6
587,Rutgers,823,2006,11,2
626,San Diego State,5486,2006,3,9
630,San Jose State,923,2006,9,4
648,South Carolina,911,2006,8,5
651,South Florida,823,2006,9,4
657,USC,905,2006,11,2
663,SMU,24312,2006,6,6
664,Southern Mississippi,24312,2006,9,5
671,Louisiana-Lafayette,818,2006,6,6
674,Stanford,905,2006,1,11
688,Syracuse,823,2006,4,8
690,Temple,99001,2006,1,11
694,Tennessee,911,2006,9,4
697,Texas A&M,25354,2006,9,4
698,TCU,5486,2006,11,2
700,Texas Tech,25354,2006,8,5
703,Texas,25354,2006,10,3
704,UTEP,24312,2006,5,7
709,Toledo,875,2006,5,7
716,Troy,818,2006,8,5
718,Tulane,24312,2006,4,8
719,Tulsa,24312,2006,8,5
721,Air Force,5486,2006,4,8
725,Army,99001,2006,3,9
726,Navy,99001,2006,9,4
731,Utah State,923,2006,1,11
732,Utah,5486,2006,8,5
736,Vanderbilt,911,2006,4,8
742,Virginia Tech,821,2006,10,3
746,Virginia,821,2006,5,7
749,Wake Forest,821,2006,11,3
754,Washington State,905,2006,6,6
756,Washington,905,2006,5,7
768,West Virginia,823,2006,11,2
774,Western Michigan,875,2006,8,5
796,Wisconsin,827,2006,12,1
811,Wyoming,5486,2006,6,6
6,Alabama A&M,916,2006,#N/A,#N/A
7,Alabama St.,916,2006,#N/A,#N/A
14,Albany (N.Y.),846,2006,#N/A,#N/A
17,Alcorn St.,916,2006,#N/A,#N/A
27,Appalachian State,912,2006,#N/A,#N/A
43,Austin Peay,99005,2006,#N/A,#N/A
48,Charleston So.,826,2006,#N/A,#N/A
61,Bethune-Cookman,876,2006,#N/A,#N/A
80,Brown,865,2006,3,7
83,Bucknell,838,2006,6,5
87,Butler,21451,2006,#N/A,#N/A
90,Cal Poly,99005,2006,#N/A,#N/A
102,Sacramento State,825,2006,#N/A,#N/A
108,UC Davis,99005,2006,#N/A,#N/A
127,Central Conn. St.,846,2006,#N/A,#N/A
141,Citadel,912,2006,#N/A,#N/A
149,Coastal Carolina,826,2006,#N/A,#N/A
153,Colgate,838,2006,4,7
158,Columbia,865,2006,5,5
167,Cornell,865,2006,5,5
172,Dartmouth,865,2006,2,8
173,Davidson,21451,2006,6,4
175,Dayton,21451,2006,4,6
178,Delaware State,876,2006,#N/A,#N/A
180,Delaware,820,2006,#N/A,#N/A
189,Drake,21451,2006,9,2
194,Duquesne,871,2006,7,3
201,Eastern Illinois,902,2006,#N/A,#N/A
202,Eastern Kentucky,902,2006,#N/A,#N/A
