Team Code,Name,Conference Code,Year,Wins,Losses
5,Akron,875,2008,5,7
8,Alabama,911,2008,12,2
9,UAB,24312,2008,4,8
28,Arizona State,905,2008,5,7
29,Arizona,905,2008,8,5
30,Arkansas State,818,2008,6,6
31,Arkansas,911,2008,5,7
37,Auburn,911,2008,5,7
47,Ball State,875,2008,12,2
51,Baylor,25354,2008,4,8
66,Boise State,923,2008,12,1
67,Boston College,821,2008,9,5
71,Bowling Green,875,2008,6,6
77,BYU,5486,2008,10,3
86,Buffalo,875,2008,8,6
96,Fresno State,923,2008,7,6
107,California,905,2008,9,4
110,UCLA,905,2008,4,8
128,UCF,24312,2008,4,8
129,Central Michigan,875,2008,8,5
140,Cincinnati,823,2008,11,3
147,Clemson,821,2008,7,6
156,Colorado State,5486,2008,7,6
157,Colorado,25354,2008,5,7
164,Connecticut,823,2008,8,5
193,Duke,821,2008,4,8
196,East Carolina,24312,2008,9,5
204,Eastern Michigan,875,2008,3,9
229,Florida Atlantic,818,2008,7,6
231,Florida International,818,2008,5,7
234,Florida State,821,2008,9,4
235,Florida,911,2008,13,1
255,Georgia Tech,821,2008,9,4
257,Georgia,911,2008,10,3
277,Hawai'i,923,2008,7,7
288,Houston,24312,2008,8,5
295,Idaho,923,2008,2,10
301,Illinois,827,2008,5,7
306,Indiana,827,2008,3,9
311,Iowa State,25354,2008,2,10
312,Iowa,827,2008,9,4
327,Kansas State,25354,2008,5,7
328,Kansas,25354,2008,8,5
331,Kent State,875,2008,4,8
334,Kentucky,911,2008,7,6
365,LSU,911,2008,8,5
366,Louisiana Tech,923,2008,8,5
367,Louisville,823,2008,5,7
388,Marshall,24312,2008,4,8
392,Maryland,821,2008,8,5
404,Memphis,24312,2008,6,7
414,Miami (Ohio),875,2008,2,10
415,Miami (Florida),821,2008,7,6
416,Michigan State,827,2008,9,4
418,Michigan,827,2008,3,9
419,Middle Tennessee,818,2008,5,7
428,Minnesota,827,2008,7,6
430,Mississippi State,911,2008,4,8
433,Mississippi,911,2008,9,4
434,Missouri,25354,2008,10,4
457,North Carolina,821,2008,0,5
463,Nebraska,25354,2008,9,4
465,UNLV,5486,2008,5,7
466,Nevada,923,2008,7,6
472,New Mexico State,923,2008,3,9
473,New Mexico,5486,2008,4,8
490,North Carolina State,821,2008,6,7
497,North Texas,818,2008,1,11
498,Louisiana-Monroe,818,2008,4,8
503,Northern Illinois,875,2008,6,7
509,Northwestern,827,2008,9,4
513,Notre Dame,99001,2008,7,6
518,Ohio State,827,2008,10,3
519,Ohio,875,2008,4,8
521,Oklahoma State,25354,2008,9,4
522,Oklahoma,25354,2008,12,2
528,Oregon State,905,2008,9,4
529,Oregon,905,2008,10,3
539,Penn State,827,2008,11,2
545,Pittsburgh,823,2008,9,4
559,Purdue,827,2008,4,8
574,Rice,24312,2008,10,3
587,Rutgers,823,2008,8,5
626,San Diego State,5486,2008,2,10
630,San Jose State,923,2008,6,6
648,South Carolina,911,2008,7,6
651,South Florida,823,2008,8,5
657,USC,905,2008,12,1
663,SMU,24312,2008,1,11
664,Southern Mississippi,24312,2008,7,6
671,Louisiana-Lafayette,818,2008,6,6
674,Stanford,905,2008,5,7
688,Syracuse,823,2008,3,9
690,Temple,875,2008,5,7
694,Tennessee,911,2008,5,7
697,Texas A&M,25354,2008,4,8
698,TCU,5486,2008,11,2
700,Texas Tech,25354,2008,11,2
703,Texas,25354,2008,12,1
704,UTEP,24312,2008,5,7
709,Toledo,875,2008,3,9
716,Troy,818,2008,8,5
718,Tulane,24312,2008,2,10
719,Tulsa,24312,2008,11,3
721,Air Force,5486,2008,8,5
725,Army,99001,2008,3,9
726,Navy,99001,2008,8,5
731,Utah State,923,2008,3,9
732,Utah,5486,2008,13,0
736,Vanderbilt,911,2008,7,6
742,Virginia Tech,821,2008,10,4
746,Virginia,821,2008,5,7
749,Wake Forest,821,2008,8,5
754,Washington State,905,2008,2,11
756,Washington,905,2008,0,12
768,West Virginia,823,2008,9,4
772,Western Kentucky,99001,2008,2,10
774,Western Michigan,875,2008,9,4
796,Wisconsin,827,2008,7,6
811,Wyoming,5486,2008,4,8
6,Alabama A&M,916,2008,#N/A,#N/A
7,Alabama St.,916,2008,#N/A,#N/A
14,Albany (N.Y.),846,2008,#N/A,#N/A
17,Alcorn St.,916,2008,#N/A,#N/A
27,Appalachian State,912,2008,#N/A,#N/A
43,Austin Peay,902,2008,#N/A,#N/A
48,Charleston So.,826,2008,#N/A,#N/A
61,Bethune-Cookman,876,2008,#N/A,#N/A
80,Brown,865,2008,7,3
83,Bucknell,838,2008,5,6
87,Butler,21451,2008,#N/A,#N/A
90,Cal Poly,99005,2008,#N/A,#N/A
102,Sacramento State,825,2008,#N/A,#N/A
108,UC Davis,99005,2008,#N/A,#N/A
127,Central Conn. St.,846,2008,#N/A,#N/A
141,Citadel,912,2008,#N/A,#N/A
149,Coastal Carolina,826,2008,#N/A,#N/A
153,Colgate,838,2008,9,3
158,Columbia,865,2008,2,8
167,Cornell,865,2008,4,6
172,Dartmouth,865,2008,0,10
173,Davidson,21451,2008,4,7
175,Dayton,21451,2008,9,3
178,Delaware State,876,2008,#N/A,#N/A
180,Delaware,837,2008,#N/A,#N/A
189,Drake,21451,2008,6,5
194,Duquesne,871,2008,3,7
201,Eastern Illinois,902,2008,#N/A,#N/A
202,Eastern Kentucky,902,2008,#N/A,#N/A
207,Eastern Washington,825,2008,#N/A,#N/A
228,Florida A&M,876,2008,#N/A,#N/A
236,Fordham,838,2008,5,6
244,Furman,912,2008,7,5
251,Georgetown,838,2008,2,8
253,Georgia Southern,912,2008,6,5
261,Grambling,916,2008,#N/A,#N/A
270,Hampton,876,2008,#N/A,#N/A
275,Harvard,865,2008,9,1
283,Hofstra,837,2008,#N/A,#N/A
285,Holy Cross,838,2008,7,4
290,Howard,876,2008,#N/A,#N/A
294,Idaho State,825,2008,#N/A,#N/A
299,Illinois State,853,2008,#N/A,#N/A
305,Indiana State,853,2008,#N/A,#N/A
